movie,release_date,production_budget,domestic_gross,worldwide_gross
avatar,2009-12-18,425000000,760507625,2776345279
pirates of the caribbean: on stranger tides,2011-05-20,410600000,241063875,1045663875
dark phoenix,2019-06-07,350000000,42762350,149762350
avengers: age of ultron,2015-05-01,330600000,459005868,1403013963
star wars ep. viii: the last jedi,2017-12-15,317000000,620181382,1316721747
star wars ep. vii: the force awakens,2015-12-18,306000000,936662225,2053311220
avengers: infinity war,2018-04-27,300000000,678815482,2048134200
pirates of the caribbean: at worldâs end,2007-05-24,300000000,309420425,963420425
justice league,2017-11-17,300000000,229024295,655945209
spectre,2015-11-06,300000000,200074175,879620923
the dark knight rises,2012-07-20,275000000,448139099,1084439099
solo: a star wars story,2018-05-25,275000000,213767512,393151347
the lone ranger,2013-07-02,275000000,89302115,260002115
john carter,2012-03-09,275000000,73058679,282778100
tangled,2010-11-24,260000000,200821936,586477240
spider-man 3,2007-05-04,258000000,336530303,894860230
captain america: civil war,2016-05-06,250000000,408084349,1140069413
batman v superman: dawn of justice,2016-03-25,250000000,330360194,867500281
the hobbit: an unexpected journey,2012-12-14,250000000,303003568,1017003568
harry potter and the half-blood prince,2009-07-15,250000000,302089278,935213767
the hobbit: the desolation of smaug,2013-12-13,250000000,258366855,960366855
the hobbit: the battle of the five armies,2014-12-17,250000000,255119788,945577621
the fate of the furious,2017-04-14,250000000,225764765,1234846267
superman returns,2006-06-28,232000000,200120000,374085065
pirates of the caribbean: dead men tell no tales,2017-05-26,230000000,172558876,788241137
quantum of solace,2008-11-14,230000000,169368427,591692078
the avengers,2012-05-04,225000000,623279547,1517935897
pirates of the caribbean: dead manâs chest,2006-07-07,225000000,423315812,1066215812
man of steel,2013-06-14,225000000,291045518,667999518
the chronicles of narnia: prince caspian,2008-05-16,225000000,141621490,417341288
the amazing spider-man,2012-07-03,220000000,262030663,757890267
battleship,2012-05-18,220000000,65233400,313477717
transformers: the last knight,2017-06-21,217000000,130168683,602893340
jurassic world,2015-06-12,215000000,652270625,1648854864
men in black 3,2012-05-25,215000000,179020854,654213485
transformers: revenge of the fallen,2009-06-24,210000000,402111870,836519699
transformers: age of extinction,2014-06-27,210000000,245439076,1104039076
x-men: the last stand,2006-05-26,210000000,234362462,459260946
robin hood,2010-05-14,210000000,105487148,322459006
king kong,2005-12-14,207000000,218080025,550517357
the golden compass,2007-12-07,205000000,70107728,367262558
black panther,2018-02-16,200000000,700059566,1348258224
titanic,1997-12-19,200000000,659363944,2208208395
incredibles 2,2018-06-15,200000000,608581744,1242520711
rogue one: a star wars story,2016-12-16,200000000,532177324,1049102856
finding dory,2016-06-17,200000000,486295561,1021215193
toy story 3,2010-06-18,200000000,415004880,1068879522
iron man 3,2013-05-03,200000000,408992272,1215392272
guardians of the galaxy vol 2,2017-05-05,200000000,389813101,862316233
spider-man 2,2004-06-30,200000000,373524485,795110670
alice in wonderland,2010-03-05,200000000,334191110,1025491110
skyfall,2012-11-08,200000000,304360277,1110526981
monsters university,2013-06-21,200000000,268488329,743588329
oz the great and powerful,2013-03-08,200000000,234770996,490359051
x-men: days of future past,2014-05-23,200000000,233921534,747862775
the amazing spider-man 2,2014-05-02,200000000,202853933,708996336
cars 2,2011-06-24,200000000,191450875,560155383
tron: legacy,2010-12-17,200000000,172062763,400062763
2012,2009-11-13,200000000,166112167,757677748
fantastic beasts: the crimes of grindelwald,2018-11-16,200000000,159555901,652220086
terminator salvation,2009-05-21,200000000,125322469,365491792
green lantern,2011-06-17,200000000,116601172,219535492
prince of persia: sands of time,2010-05-28,200000000,90759676,336359676
transformers: dark of the moon,2011-06-29,195000000,352390543,1123790543
the mummy,2017-06-09,195000000,80101125,409953905
jack the giant slayer,2013-03-01,195000000,65187603,197687603
furious 7,2015-04-03,190000000,353007020,1518722794
star trek into darkness,2013-05-16,190000000,228778661,467381584
world war z,2013-06-21,190000000,202359711,531514650
the great gatsby,2013-05-10,190000000,144840419,351040419
disneyâs a christmas carol,2009-11-06,190000000,137855863,315709697
pacific rim,2013-07-12,190000000,101802906,411002906
the good dinosaur,2015-11-25,187500000,123087120,333771037
iron man,2008-05-02,186000000,318604126,585171547
the dark knight,2008-07-18,185000000,533720947,1001996207
indiana jones and the kingdom of the crystal skull,2008-05-22,185000000,317101119,786635413
brave,2012-06-22,185000000,237282182,554606532
kong: skull island,2017-03-10,185000000,168052812,561072059
star trek beyond,2016-07-22,185000000,158848340,335802233
blade runner 2049,2017-10-06,185000000,92054159,259357408
aladdin,2019-05-24,182000000,246734314,619234314
thor: ragnarok,2017-11-03,180000000,315058289,846980024
"the chronicles of narnia: the lion, the witch and the wardrobe",2005-12-09,180000000,291710957,720539572
