,tconst,movie,runtime_minutes,genres,average_rating,release_date,production_budget,domestic_gross,worldwide_gross,Collections,Profit,release_year,Month,release_month,release_season,release_quarter
2911,tt4154756,avengersinfinitywar,149,"Action,Adventure,Sci-Fi",8.5,2018-04-27,300000000,678815482,2048134200,2726949682,2426949682,2018,April,4,spring,Q2
8,tt0369610,jurassicworld,124,"Action,Adventure,Sci-Fi",7.0,2015-06-12,215000000,652270625,1648854864,2301125489,2086125489,2015,June,6,summer,Q2
123,tt0848228,theavengers,143,"Action,Adventure,Sci-Fi",8.1,2012-05-04,225000000,623279547,1517935897,2141215444,1916215444,2012,May,5,spring,Q2
1589,tt1825683,blackpanther,134,"Action,Adventure,Sci-Fi",7.3,2018-02-16,200000000,700059566,1348258224,2048317790,1848317790,2018,February,2,winter/holiday,Q1
2796,tt3606756,incredibles2,118,"Action,Adventure,Animation",7.7,2018-06-15,200000000,608581744,1242520711,1851102455,1651102455,2018,June,6,summer,Q2
2505,tt2771200,beautyandthebeast,129,"Family,Fantasy,Musical",7.2,2017-03-17,160000000,504014165,1259199706,1763213871,1603213871,2017,March,3,spring,Q1
3035,tt4881806,jurassicworldfallenkingdom,128,"Action,Adventure,Sci-Fi",6.2,2018-06-22,170000000,417719760,1305772799,1723492559,1553492559,2018,June,6,summer,Q2
2338,tt2395427,avengersageofultron,141,"Action,Adventure,Sci-Fi",7.3,2015-05-01,330600000,459005868,1403013963,1862019831,1531419831,2015,May,5,spring,Q2
588,tt1323045,frozen,93,"Adventure,Drama,Sport",6.2,2013-11-22,150000000,400738009,1272469910,1673207919,1523207919,2013,November,11,Fall,Q4
2235,tt2293640,minions,91,"Adventure,Animation,Comedy",6.4,2015-07-10,74000000,336045770,1160336173,1496381943,1422381943,2015,July,7,summer,Q3
884,tt1477834,aquaman,143,"Action,Adventure,Fantasy",7.1,2018-12-21,160000000,335061807,1146894640,1481956447,1321956447,2018,December,12,winter/holiday,Q4
2225,tt2277860,findingdory,97,"Adventure,Animation,Comedy",7.3,2016-06-17,200000000,486295561,1021215193,1507510754,1307510754,2016,June,6,summer,Q2
2762,tt3498820,captainamericacivilwar,147,"Action,Adventure,Sci-Fi",7.8,2016-05-06,250000000,408084349,1140069413,1548153762,1298153762,2016,May,5,spring,Q2
24,tt0435761,toystory3,103,"Adventure,Animation,Comedy",8.3,2010-06-18,200000000,415004880,1068879522,1483884402,1283884402,2010,June,6,summer,Q2
689,tt1399103,transformersdarkofthemoon,154,"Action,Adventure,Sci-Fi",6.2,2011-06-29,195000000,352390543,1123790543,1476181086,1281181086,2011,June,6,summer,Q2
2230,tt2283362,jumanjiwelcometothejungle,119,"Action,Adventure,Comedy",7.0,2017-12-20,90000000,404508916,964496193,1369005109,1279005109,2017,December,12,winter/holiday,Q4
1337,tt1690953,despicableme2,98,"Adventure,Animation,Comedy",7.4,2013-07-03,76000000,368065385,975216835,1343282220,1267282220,2013,July,7,summer,Q3
617,tt1345836,thedarkknightrises,164,"Action,Thriller",8.4,2012-07-20,275000000,448139099,1084439099,1532578198,1257578198,2012,July,7,summer,Q3
2754,tt3469046,despicableme3,89,"Adventure,Animation,Comedy",6.3,2017-06-30,75000000,264624300,1034727750,1299352050,1224352050,2017,June,6,summer,Q2
260,tt1074638,skyfall,143,"Action,Adventure,Thriller",7.8,2012-11-08,200000000,304360277,1110526981,1414887258,1214887258,2012,November,11,Fall,Q4
2561,tt2948356,zootopia,108,"Adventure,Animation,Comedy",8.0,2016-03-04,150000000,341268248,1019429616,1360697864,1210697864,2016,March,3,spring,Q1
2987,tt4630562,thefateofthefurious,136,"Action,Crime,Thriller",6.7,2017-04-14,250000000,225764765,1234846267,1460611032,1210611032,2017,April,4,spring,Q2
2490,tt2709768,thesecretlifeofpets,87,"Adventure,Animation,Comedy",6.5,2016-07-08,75000000,368384330,886750534,1255134864,1180134864,2016,July,7,summer,Q3
210,tt1014759,aliceinwonderland,108,"Adventure,Family,Fantasy",6.5,2010-03-05,200000000,334191110,1025491110,1359682220,1159682220,2010,March,3,spring,Q1
1768,tt1951264,thehungergamescatchingfire,146,"Action,Adventure,Sci-Fi",7.5,2013-11-22,130000000,424668047,864868047,1289536094,1159536094,2013,November,11,Fall,Q4
2141,tt2226178,thejunglebook,64,Animation,7.0,2016-04-15,175000000,364001123,962854547,1326855670,1151855670,2016,April,4,spring,Q2
1928,tt2109248,transformersageofextinction,165,"Action,Adventure,Sci-Fi",5.7,2014-06-27,210000000,245439076,1104039076,1349478152,1139478152,2014,June,6,summer,Q2
755,tt1431045,deadpool,108,"Action,Adventure,Comedy",8.0,2016-02-12,58000000,363070709,801025593,1164096302,1106096302,2016,February,2,winter/holiday,Q1
32,tt0451279,wonderwoman,141,"Action,Adventure,Fantasy",7.5,2017-06-02,150000000,412563408,821133378,1233696786,1083696786,2017,June,6,summer,Q2
145,tt0903624,thehobbitanunexpectedjourney,169,"Adventure,Family,Fantasy",7.9,2012-12-14,250000000,303003568,1017003568,1320007136,1070007136,2012,December,12,winter/holiday,Q4
